DeviceType,UsageHoursPerDay,EnergyConsumption,UserPreferences,MalfunctionIncidents,DeviceAgeMonths,SmartHomeEfficiency
Smart Speaker,15.30718848124909,1.9616068166289795,1,4,36,1
Camera,19.9733432937798,8.610688921898104,1,0,29,1
Security System,18.91153466115779,2.651776634718286,1,0,20,1
Camera,7.011127368264892,2.341653090367735,0,3,15,0
Camera,22.6106839846413,4.859069159195124,1,3,36,1
Thermostat,3.422127273625453,5.038625135068315,1,0,3,1
Security System,21.065640037597078,2.2293437649724197,0,0,56,0
Security System,23.31709586570853,2.791421194586566,0,0,53,0
Security System,4.663107795731701,1.780081867636925,1,2,23,1
Camera,17.468552508788953,7.212755765399351,1,4,58,0
Smart Speaker,1.446709691282964,7.72388140941541,0,3,54,0
Security System,10.02743639077014,4.677052124846898,0,3,46,0
Camera,12.63265753114534,7.169461524581672,1,1,9,1
Thermostat,14.1451628088764,7.38576038018071,0,2,30,0
Smart Speaker,22.49452533384115,1.4689277240103051,0,0,19,1
Thermostat,16.297891151413573,9.665162445861911,1,0,38,1
Smart Speaker,11.81003185365207,8.228216276254667,1,2,3,1
Camera,19.5273633522484,2.1243862658386528,0,3,50,0
Lights,22.83752129242861,1.943033853886096,1,0,48,1
Smart Speaker,1.0185544940338347,1.3440453412378692,1,1,3,1
Thermostat,23.58924989801691,1.469947769164992,1,3,34,1
Camera,2.524105267996488,7.506801810384092,1,4,2,0
Smart Speaker,19.638089312815893,4.749577143821073,1,2,58,1
Lights,7.087866684958193,7.851048310124685,0,3,27,0
Lights,3.606221957215986,7.487923454067033,0,4,23,0
Security System,10.83660753327512,6.085665863701694,1,1,42,0
Security System,15.632979617018918,6.895029405128927,1,2,32,1
Thermostat,9.452368358051665,0.2817216713535037,1,0,47,1
Smart Speaker,1.7822870946434255,3.1865987033697176,0,0,35,0
Smart Speaker,14.58733678197984,6.414439574668161,0,4,40,0
Security System,21.70647698860085,0.1925150395138176,0,3,18,0
Smart Speaker,9.505561099760415,0.4264717424576747,0,1,27,0
Smart Speaker,5.583820274324435,8.533691026456793,1,4,11,0
Lights,10.90056762942116,6.871846130751511,1,1,39,0
Security System,1.6365237096463503,2.727160357891405,0,1,19,0
Camera,19.781458235286458,6.910832117175219,0,1,25,0
Security System,19.91900905732939,7.945321024478706,1,2,7,1
Camera,14.318010890596268,3.1372634027900026,1,4,31,1
Lights,8.797917890052153,0.4567700372419557,1,2,57,1
Thermostat,19.29490906447591,9.334513334408571,1,3,2,1
Smart Speaker,13.535145082526627,3.517280399126742,1,3,38,1
Lights,19.909409250925385,1.1541694565185932,0,0,5,1
Smart Speaker,15.339281625700984,4.969383026792159,1,0,14,1
Thermostat,18.933528620500734,7.707831177074925,0,0,18,0
Thermostat,14.56623034061736,2.294308414713836,0,3,36,0
Lights,10.232315103068157,2.7679514963202974,1,1,4,1
Thermostat,23.01172770826423,2.5028783693059733,0,1,24,0
Camera,13.216174884652853,9.917563223033614,0,4,13,0
Thermostat,14.719603685702651,2.054296963932371,1,3,55,1
Smart Speaker,5.681459526246607,5.797650147964627,0,0,21,0
Smart Speaker,15.202793551540998,9.260119952403947,1,3,57,0
Smart Speaker,13.93277976284918,1.5542760318900146,1,1,33,1
Smart Speaker,4.843702351755086,9.711456558890232,0,1,20,0
Camera,1.9002967877988768,9.480024620516684,1,2,5,0
Security System,14.70244401329712,8.8572626718768,1,2,24,1
Lights,18.44676832973253,2.2241095611670225,0,4,35,0
Smart Speaker,12.799932216667193,6.377145054508735,1,3,30,1
Thermostat,5.829156695011674,7.632825582316277,0,2,28,0
Smart Speaker,16.163266452286322,9.861676489144656,0,2,53,0
Thermostat,2.3824845753256527,1.8861958386055675,1,3,51,0
Thermostat,10.883092062845932,7.683656405241034,0,1,45,0
Smart Speaker,4.339118822362874,3.4541315822784187,1,4,7,1
Camera,4.834787699907259,1.8387020091232231,0,4,42,0
Thermostat,5.253907805217786,4.271631718017164,1,4,35,1
Thermostat,9.58761584053348,7.958975530271302,1,2,55,0
Smart Speaker,1.702029832079344,4.702013056670116,0,1,30,0
Thermostat,9.848145861833808,5.42147869201018,0,4,34,0
Thermostat,12.52512500719547,9.9520781609812,1,3,39,0
Smart Speaker,11.857415696708642,4.051182065618518,1,4,9,1
Smart Speaker,9.495426359471454,6.192467471621474,0,0,53,0
Lights,20.21994528966268,3.7159175959921815,1,1,12,1
Camera,3.915177271881847,3.9885778986541793,1,0,54,1
Camera,12.383873478862288,6.98684345910954,0,1,29,0
Thermostat,1.957973298479026,9.385081063339346,0,3,10,0
Camera,2.172158453630879,5.469353609873981,1,2,27,0
Thermostat,13.985847467411762,7.707159296592921,0,2,19,0
Lights,13.801432984863792,0.983144932287942,0,1,13,0
Smart Speaker,21.13378755184474,2.190464570576077,1,4,42,1
Smart Speaker,13.61003137801172,5.071103245103371,0,0,37,0
Smart Speaker,23.05508897951398,0.2981160639248704,0,3,32,0
Camera,1.6443289373983496,2.6032642897493323,1,4,15,1
Lights,2.803180592347415,5.222272769267165,0,2,21,0
Camera,1.535547746903963,0.248115862737377,1,4,3,1
Camera,4.85400598283819,2.719008233637813,0,0,8,0
Lights,13.219847607129434,5.188905112811108,0,2,6,0
Lights,15.670946263544558,5.774177555014332,1,1,29,1
Lights,1.5712512117937167,9.264941761247524,0,3,19,0
Lights,22.730315911371584,6.488921670181018,0,3,17,0
Smart Speaker,20.290886351283955,4.205884445046938,0,2,10,0
Security System,7.470393330691689,9.310476653617371,0,1,33,0
Security System,2.3139069603219973,7.870341535539163,0,0,13,0
Lights,4.492346220647846,2.0800883190162014,0,3,27,0
Security System,3.483193723241858,1.3953393773533158,1,2,42,0
Security System,3.397168813525251,6.7905351938530565,0,3,12,0
Lights,12.686199683644748,5.642843339212139,0,1,2,0
Security System,6.277414898594907,7.917768776548281,1,0,10,1
Camera,8.916283338434894,7.4141699957789955,1,1,21,1
Thermostat,23.753375334531576,6.289594185189399,1,4,23,1
Thermostat,16.581384849745604,9.865183499126031,0,1,1,0
Lights,22.80104567560453,5.382538328093045,1,1,33,1
Smart Speaker,3.8500790432782166,1.2197469893670263,1,3,52,0
Lights,9.480277658565376,8.299908291678285,0,1,26,0
Smart Speaker,13.536197377135323,2.5933482872225198,1,2,15,1
Thermostat,2.303814454385344,7.795291266624791,0,3,22,0
Lights,0.5984049252570098,9.575360250400507,0,3,25,0
Camera,16.255206844227562,6.998275588246979,0,4,1,0
Security System,15.582758644833731,6.000698593403031,0,2,59,0
Smart Speaker,10.153537034990876,4.657823139182901,0,1,26,0
Security System,12.006635786752769,3.707657673354493,1,4,21,1
Security System,10.262910513914106,3.594747034621179,0,2,41,0
Lights,1.064118553854888,6.400089786524947,1,4,24,0
Security System,8.381232746110367,7.537603857683684,0,0,39,0
Camera,4.661433001836311,6.817318987895702,1,1,16,0
Security System,2.8129684438821654,2.064260001816271,0,4,32,0
Lights,22.98293019639972,4.990473083420563,0,0,16,1
Camera,14.584953538490891,7.9372367146123235,0,1,13,0
Thermostat,17.623422679560164,4.8094703740716565,1,4,42,1
Security System,7.911047966753761,5.4125704693813885,1,4,32,0
Lights,9.738957543109358,7.734246876891139,1,4,50,0
Thermostat,6.067713856573001,6.646526532024406,0,4,41,0
Thermostat,2.7786932676874816,4.152514716735687,0,3,44,0
Smart Speaker,4.707243479877219,8.964585840822767,1,4,24,0
Camera,19.241580064467417,1.7094139797684382,0,3,13,0
Security System,16.42232642181873,9.955612841044214,1,3,11,1
Lights,13.352828585658708,1.2766405269147485,0,0,15,1
Smart Speaker,11.66461201236905,0.2480047139319651,1,1,10,1
Camera,22.17720566591893,8.91118712137277,1,3,42,0
Smart Speaker,2.2092712727987074,2.525039732822965,0,2,41,0
Camera,7.094119111091025,7.324026311722537,1,3,57,0
Camera,8.72353955891178,8.129052211827487,0,2,57,0
Security System,18.887006587000517,8.603965271217957,0,0,3,0
Camera,23.824093573806326,9.91678293307525,0,2,55,0
Smart Speaker,6.1557570967930975,3.010993129395991,1,0,16,1
Camera,21.046222352221395,7.1314090850798655,1,0,44,1
Security System,20.01963487014709,1.2424585969801996,1,0,17,1
Security System,5.779448844581515,4.1274119844328085,0,2,25,0
Smart Speaker,9.88431563468173,8.494919763794645,0,2,30,0
Thermostat,10.1273124283742,3.739814655985173,1,0,47,1
Thermostat,23.48818571037412,5.951844267302579,0,0,57,0
Camera,4.750959682404111,5.087357092873877,0,1,35,0
Lights,19.280212320962377,6.494920158009246,1,0,37,1
Camera,8.353528783068082,9.73165445493818,1,4,13,1
Smart Speaker,17.675453125739768,0.651781712363881,0,1,24,0
Smart Speaker,10.370258600948077,5.782219023266134,0,1,38,0
Smart Speaker,14.09145443323869,8.64398491457782,1,1,26,1
Smart Speaker,20.066376673164083,4.865688846309432,1,4,58,1
Smart Speaker,19.39789077712128,0.8774191408215709,0,1,9,0
Security System,20.860944813182957,5.649339588926032,0,1,19,0
Thermostat,1.901007145599487,3.3875315191558224,0,2,28,0
Smart Speaker,16.763187996434002,1.6339236748455654,1,2,7,1
Lights,3.789703352961428,8.505441681506383,0,0,45,0
Lights,10.271736348432658,5.263835178612104,0,0,22,0
Lights,13.39182775378518,9.33943648255276,0,3,30,0
Lights,9.964377891550525,8.079563395570384,0,4,37,0
Security System,12.710874381370676,6.960420758359307,0,2,16,0
Lights,23.91836825676755,0.1497524833165881,0,0,36,0
Smart Speaker,3.677606872252086,4.3354522207186745,1,4,5,1
Camera,16.373217065406003,2.05511418835512,1,1,29,1
Lights,9.806022710061958,9.11689931938379,1,4,52,0
Security System,3.625730274322226,1.8283814482959668,0,2,51,0
Security System,4.230313939296273,2.9319945114269266,1,3,23,1
Lights,22.807917996772,5.216684000571542,0,2,6,0
Camera,21.170635172726406,2.707299828080985,0,0,36,0
Lights,21.81548606975301,2.1776603050633,0,0,57,0
Security System,23.801020231943586,6.031083318517249,0,4,33,0
Thermostat,5.395411665200172,0.9804022752747362,0,2,49,0
Smart Speaker,8.85282442805545,0.6758608113371547,1,0,41,1
Security System,16.226647203234368,3.785228422342107,1,1,16,1
Lights,11.869359686725211,7.234578099627837,1,1,55,0
Smart Speaker,10.332154034390838,5.592586906912085,0,3,34,0
Lights,8.908564359386437,4.28647703782111,1,4,43,1
Lights,14.453844850671128,5.700940485823366,0,0,26,0
Thermostat,14.026445573041928,3.717969698067409,1,3,37,1
Smart Speaker,4.294259100509642,9.367848720777918,1,1,13,0
Smart Speaker,11.585886181683318,0.6435584200166659,1,3,52,1
Thermostat,13.506586740931471,6.7665756423953685,1,3,17,1
Security System,13.901743060187677,8.92369838179473,1,0,32,1
Lights,5.437519033440267,8.05845861647901,1,0,32,1
Camera,17.94337771792874,1.9220062447323227,0,0,28,1
Lights,1.0921787282951363,3.0296708549048548,0,4,29,0
Lights,8.838548605264322,7.198774593200336,0,3,25,0
Security System,18.834997240587388,0.9342785358895788,0,3,47,0
Lights,13.751483644801954,8.137430828342582,0,4,22,0
Thermostat,6.637317164005216,7.217178751587424,1,1,27,0
Thermostat,16.83139830456162,7.323105827429892,0,2,44,0
Smart Speaker,13.833687187667724,1.092389565649155,0,1,38,0
Camera,19.211724822225097,7.205829393680685,0,4,20,0
Lights,17.77309187546085,6.830199439677703,0,3,45,0
Lights,14.837536167851514,8.32613265913632,0,3,50,0
Security System,11.972175369804129,0.5117999669390481,0,0,24,1
Thermostat,3.6297799531868,0.3287956178311427,0,0,47,0
Camera,6.641325920306518,3.792770288797752,0,3,47,0
Smart Speaker,10.348837613551504,1.5730040101066136,0,3,8,0
Thermostat,14.583533244650134,5.628006327945196,1,0,51,1
Smart Speaker,12.572134597559664,9.181754124916814,0,0,55,0
Security System,7.272336360048943,3.975649330306756,0,1,14,0
